id,status,severity,area,risk,mitigation,owner,opened_at,closed_at,notes
RISK-001,closed,high,models,No evaluated local candidate clears the corrected strict structured-output pilot,Require a candidate to pass all four maintained cases without repair before advancing to the labeled grounded-quality benchmark,orchestrator,2026-07-13,2026-07-16,VER-702 proves Qwen3.6 27B passed all four corrected cases including prompt-injection detection with a 4442 ms median and 6431 ms p95; this does not constitute production model selection
RISK-002,closed,medium,maintainability,The disposable LM Studio spike script and test exceed the repository decomposition guideline,Keep spike code outside production imports and design the provider adapter as smaller contract-bound modules,orchestrator,2026-07-13,2026-07-16,The disposable spike was removed in W-039; ADR 0002 retains the evidence and any future provider work starts from a production contract
RISK-003,closed,high,catalog-persistence,Current executable BookmarkCatalog methods cannot return typed persistence failures,Apply the accepted architecture contract in Slice 12 before service or SQLite implementation,orchestrator,2026-07-13,2026-07-13,Executable types now distinguish validation storage and missing data
RISK-004,closed,low,jobs-storage,Jobs contract has no distinct stored-queue-corruption failure code,Map impossible stored invariants to storage_unavailable and add a code only if operational evidence makes the distinction useful,orchestrator,2026-07-13,2026-07-16,TDD-079 and TDD-080 plus VER-679 prove stored_queue_invalid across replay lease transition control recovery and progress while engine failures remain storage_unavailable
RISK-005,closed,low,jobs-performance,Progress currently validates and materializes every requested-batch job row,Measure progress polling cost with the first UI and replace with validated SQL aggregates only if the 10000-node workload misses its responsiveness budget,orchestrator,2026-07-13,2026-07-16,VER-680 measured exact validated 10000-job progress at 10.23 ms against the fixed 250 ms budget so SQL aggregation is not warranted
RISK-006,closed,low,developer-experience,Health fixture tests require permission to bind ephemeral loopback listeners,Keep the test command local-only and document the permission requirement in ADR 0008,orchestrator,2026-07-13,2026-07-16,TDD-077 and VER-674 prove a transparent restricted command while GitHub CI and the release gate retain all listener tests
RISK-007,closed,high,node-health-safety,Special-purpose IPv6 and translated loopback targets pass request approval,Implement and boundary-test an explicit IANA-derived IPv6 policy in remediation Slice 2,orchestrator,2026-07-15,2026-07-16,TDD-055 and TDD-064 plus VER-608 and VER-613 prove fail-closed special reserved translated and deprecated-local IPv6 handling
RISK-008,closed,high,node-health-deadline,Slow response activity can extend a Health transport beyond its declared total deadline,Add one absolute elapsed timer and a slow-drip regression in remediation Slice 1,orchestrator,2026-07-15,2026-07-16,TDD-054 and VER-544 prove one absolute deadline across resolution headers and the complete response body
RISK-009,closed,high,local-data-privacy,SQLite databases containing bookmark titles and URLs are created with group and other read access,Create and tighten file-backed databases to POSIX mode 0600 in remediation Slice 3,orchestrator,2026-07-15,2026-07-16,TDD-056 proves both public SQLite openers create and tighten regular database files to POSIX mode 0600
RISK-010,closed,high,developer-gates,The declared typecheck omits most production files and hides 30 strict compiler errors,Repair errors in Slices 4 and 5 then expand the permanent gate in Slice 6,orchestrator,2026-07-15,2026-07-16,TDD-057 through TDD-059 and VER-612 prove strict all-source typechecking deterministic test discovery and the aggregate gate
RISK-011,closed,medium,health-classification,Production DNS and common certificate failures map to unsupported or unknown outcomes,Map structured Node error codes without prose parsing in remediation Slice 7,orchestrator,2026-07-15,2026-07-16,TDD-060 and VER-584 prove explicit structured DNS X509 connection parser protocol and unknown mappings
RISK-012,closed,medium,health-validation,Health accepts repository observations after checking only four identity fields,Add a Health-owned full observation validator in remediation Slice 8,orchestrator,2026-07-15,2026-07-16,TDD-061 and TDD-065 prove complete repository-result validation and exact requested-URL identity on load and save
RISK-013,closed,medium,catalog-boundary,The CLI traverses Catalog snapshots and owns descendant-count projection,Add a Catalog inspection contract then migrate the CLI in remediation Slices 9 and 10,orchestrator,2026-07-15,2026-07-16,TDD-062 and TDD-063 plus VER-603 prove Catalog-owned projection with byte-compatible private CLI formatting
RISK-014,closed,medium,catalog-input-bounds,Recursive bookmark paths have no shared depth node or byte budget,Plan a public resource boundary then migrate parser Catalog storage and Processing paths,orchestrator,2026-07-15,2026-07-16,TDD-067 through TDD-072 and VER-633 through VER-655 prove shared byte node and depth limits plus iterative Catalog Chrome HTML SQLite inspection CLI and Processing paths
RISK-015,closed,medium,architecture-enforcement,Test enrollment and public-module import rules rely on manual maintenance,Add deterministic test discovery and an AST boundary contract test in remediation Slice 6,orchestrator,2026-07-15,2026-07-16,TDD-059 and VER-606 prove deterministic enrollment and public-module AST enforcement; the import-equals blind spot is tracked by follow-up Slice 14
RISK-016,closed,medium,project-memory,Completed active plans and superseded ADR and risk text present stale repository state,Archive and supersede records after the underlying repairs establish corrected facts,orchestrator,2026-07-15,2026-07-16,W-114 archived eight completed plans closed repaired risks and linked retained transport evidence to current production proofs
RISK-017,closed,medium,model-quality-rubric,The exact enrichment label taxonomy and evidence-coverage rubric can mis-score useful variants and cannot detect broad over-citation,Define provider-authored canonical vocabularies accepted content-type alternatives entity negatives and field-level evidence precision then complete blinded human review before scale-up,orchestrator,2026-07-16,2026-07-18,Canonical vocabularies defined and blinded human review CLI established with negative entity and evidence precision constraints
RISK-018,closed,high,node-health-safety,Network-specific NAT64 prefixes can translate approved global IPv6 targets into IPv4 destinations rejected by policy,Discover RFC 6052 prefixes through RFC 7050 or accept a trusted explicit prefix list then validate the embedded IPv4 and reserved bits,orchestrator,2026-07-18,2026-07-18,TDD-088 and VER-717 through VER-719 prove all six standard layouts fail closed for unsafe translated targets
